,0,1,2,3
105,0.0,-9.5,20.0,2263.032
106,0.0,-9.5,20.0,2263.072
107,0.0,-9.5,20.0,2263.072
108,0.0,-9.5,20.0,2263.092
109,0.0,-9.5,20.0,2263.112
110,0.0,-9.5,20.0,2263.148
111,0.0,-9.5,20.0,2263.192
112,0.0,-9.5,20.0,2263.192
113,0.0,-9.5,20.0,2263.196
114,0.0,-9.5,20.0,2263.212
115,0.0,-9.5,20.0,2263.232
116,0.0,-9.5,20.0,2263.272
117,0.0,-9.5,20.0,2263.272
118,0.0,-9.5,20.0,2263.292
119,0.0,-9.5,20.0,2263.312
120,0.0,-9.5,20.0,2263.352
121,0.0,-9.5,20.0,2263.388
122,0.0,-9.5,20.0,2263.388
123,0.0,-9.5,20.0,2263.392
124,0.0,-9.5,20.0,2263.412
125,0.0,-9.5,20.0,2263.456
126,0.0,-9.5,20.0,2263.456
127,0.0,-9.5,20.0,2263.488
128,0.0,-9.5,20.0,2263.492
129,0.0,-9.5,20.0,2263.536
130,0.0,-9.5,20.0,2263.536
131,0.0,-9.5,20.0,2263.58
132,0.0,-9.5,20.0,2263.58
133,0.0,-9.5,20.0,2263.592
134,0.0,-9.5,20.0,2263.612
135,0.0,-9.5,20.0,2263.652
136,0.0,-9.5,20.0,2263.692
137,0.0,-9.5,20.0,2263.692
138,0.0,-9.5,20.0,2263.692
139,0.0,-9.5,20.0,2263.712
140,0.0,-9.5,20.0,2263.732
141,0.0,-9.5,20.0,2263.772
142,0.0,-9.5,20.0,2263.772
143,0.0,-9.5,20.0,2263.792
144,0.0,-9.5,20.0,2263.812
145,0.0,-9.5,20.0,2263.856
146,0.0,-9.5,20.0,2263.856
147,0.0,-9.5,20.0,2263.892
148,0.0,-9.5,20.0,2263.892
149,0.0,-9.5,20.0,2263.916
150,0.0,-9.5,20.0,2263.932
151,0.0,-9.5,20.0,2263.976
152,0.0,-9.5,20.0,2263.976
153,0.0,-9.5,20.0,2263.992
154,0.0,-9.5,20.0,2264.012
155,0.0,-9.5,20.0,2264.052
156,0.0,-9.5,20.0,2264.092
157,0.0,-9.5,20.0,2264.092
158,0.0,-9.5,20.0,2264.092
159,0.0,-9.5,20.0,2264.112
160,0.0,-9.5,20.0,2264.132
161,0.0,-9.5,20.0,2264.176
162,0.0,-9.5,20.0,2264.176
163,0.0,-9.5,20.0,2264.192
164,0.0,-9.5,20.0,2264.212
165,0.0,-9.5,20.0,2264.252
166,0.0,-9.5,20.0,2264.292
167,0.0,-9.5,20.0,2264.292
168,0.0,-9.5,20.0,2264.292
169,0.0,-9.5,20.0,2264.312
170,0.0,-9.5,20.0,2264.328
171,0.0,-9.5,20.0,2264.38
172,0.0,-9.5,20.0,2264.38
173,0.0,-0.02,20.0,2264.392
174,0.0,-0.04,20.0,2264.412
175,0.0,-0.060000000000000005,20.0,2264.452
176,0.0,-0.08,20.0,2264.452
177,0.0,-0.1,20.0,2264.492
178,0.0,-0.12000000000000001,20.0,2264.492
179,0.0,-0.14,20.0,2264.512
180,0.0,-0.16,20.0,2264.532
181,0.0,-0.18000000000000002,20.0,2264.576
182,0.0,-0.2,20.0,2264.576
183,0.0,-0.22,20.0,2264.592
184,0.0,-0.24000000000000002,20.0,2264.612
185,0.0,-0.26,20.0,2264.652
186,0.0,-0.28,20.0,2264.652
187,0.0,-0.30000000000000004,20.0,2264.692
188,0.0,-0.32,20.0,2264.692
189,0.0,-0.34,20.0,2264.712
190,0.0,-0.36000000000000004,20.0,2264.732
191,0.0,-0.38,20.0,2264.776
192,0.0,-0.4,20.0,2264.776
193,0.0,-0.42000000000000004,20.0,2264.792
194,0.0,-0.44,20.0,2264.812
195,0.0,-0.46,20.0,2264.852
196,0.0,-0.48000000000000004,20.0,2264.852
197,0.0,-0.5,20.0,2264.892
198,0.0,-0.5244948974278318,20.0,2264.892
199,0.0,-0.5489897948556636,20.0,2264.912
200,0.0,-0.5734846922834954,20.0,2264.932
201,0.0,-0.5979795897113271,20.0,2264.968
202,0.0,-0.622474487139159,20.0,2264.992
203,0.0,-0.6469693845669906,20.0,2264.992
204,0.0,-0.6714642819948224,20.0,2265.012
205,0.0,-0.6959591794226543,20.0,2265.032
206,0.0,-0.720454076850486,20.0,2265.076
207,0.0,-0.7449489742783179,20.0,2265.076
208,0.0,-0.7694438717061496,20.0,2265.092
209,0.0,-0.7939387691339812,20.0,2265.112
210,0.0,-0.818433666561813,20.0,2265.152
211,0.0,-0.8429285639896449,20.0,2265.152
212,0.0,-0.8674234614174767,20.0,2265.188
213,0.0,-0.8919183588453085,20.0,2265.192
214,0.0,-0.9164132562731402,20.0,2265.228
215,0.0,-0.940908153700972,20.0,2265.272
216,0.0,-0.9654030511288036,20.0,2265.272
217,0.0,-0.9898979485566355,20.0,2265.272
218,0.0,-1.016619427007074,20.0,2265.292
219,0.0,-1.0449036982545359,20.0,2265.312
220,0.0,-1.073187969501998,20.0,2265.352
221,0.0,-1.10147224074946,20.0,2265.388
222,0.0,-1.1297565119969217,20.0,2265.388
223,0.0,-1.1580407832443835,20.0,2265.392
224,0.0,-1.1863250544918456,20.0,2265.412
225,0.0,-1.2146093257393074,20.0,2265.452
226,0.0,-1.2428935969867694,20.0,2265.452
227,0.0,-1.2711778682342312,20.0,2265.488
228,0.0,-1.2994621394816932,20.0,2265.492
229,0.0,-1.327746410729155,20.0,2265.532
230,0.0,-1.3560306819766168,20.0,2265.532
231,0.0,-1.3843149532240786,20.0,2265.572
232,0.0,-1.4125992244715406,20.0,2265.572
233,0.0,-1.4408834957190026,20.0,2265.592
234,0.0,-1.4691677669664645,20.0,2265.612
235,0.0,-1.4974520382139263,20.0,2265.652
236,0.0,-1.5287740687228175,20.0,2265.692
